,loss,PYR,BC,OLM,PYR->BC_AMPA,PYR->OLM_AMPA,PYR->PYR_AMPA,BC->BC_GABA,BC->PYR_GABA,OLM->PYR_GABA,PYR->BC_NMDA,PYR->OLM_NMDA,PYR->PYR_NMDA,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,INTERVAL/PYR/0_250,INTERVAL/PYR/250_500,INTERVAL/PYR/500_750,INTERVAL/PYR/750_1000,INTERVAL/BC/0_250,INTERVAL/BC/250_500,INTERVAL/BC/500_750,INTERVAL/BC/750_1000,INTERVAL/OLM/0_250,INTERVAL/OLM/250_500,INTERVAL/OLM/500_750,INTERVAL/OLM/750_1000,config/netParams.connParams.BC->BC_GABA.weight,config/netParams.connParams.BC->PYR_GABA.weight,config/netParams.connParams.OLM->PYR_GABA.weight,config/netParams.connParams.PYR->BC_AMPA.weight,config/netParams.connParams.PYR->BC_NMDA.weight,config/netParams.connParams.PYR->OLM_AMPA.weight,config/netParams.connParams.PYR->OLM_NMDA.weight,config/netParams.connParams.PYR->PYR_AMPA.weight,config/netParams.connParams.PYR->PYR_NMDA.weight,logdir
10,1583650964.75665,9.87625,37.545,25.74,0.001602999999999,0.037996999999999,0.003503,0.000692,0.005195,0.004509,0.000337,0.001742999999999,0.053907,31.71733665466309,False,1,18ea7660,2023-12-12_00-58-44,1702360724,31.71733665466309,740198,grid,10.0.0.101,31.71733665466309,1,12.71,7.01,9.2,10.585,35.6,38.34,34.12,42.12,32.04,21.28,31.62,18.02,0.000692,0.005195,0.004509,0.0016029999999999998,0.000337,0.037996999999999996,0.0017429999999999998,0.003503,0.053907,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_18ea7660_11_netParams_connParams_BC-_BC_GABA_weight=0.0007,netParams_connParams_BC-_PYR_GABA_weight=0.0052,netParams_connP_2023-12-12_00-58-12"
11,132576085.93757188,10.1775,2.535,23.195,0.080108,3.8e-05,0.096884,0.018581,0.0006789999999999,0.034039,0.03599,0.098981,0.098745,36.45361542701721,False,1,b3c221d4,2023-12-12_00-59-21,1702360761,36.45361542701721,740198,grid,10.0.0.101,36.45361542701721,1,25.85,0.0,0.0,14.86,4.0,0.0,0.0,6.14,5.14,39.18,38.6,9.86,0.018581,0.000679,0.034039,0.080108,0.03599,3.7999999999999995e-05,0.098981,0.096884,0.098745,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_b3c221d4_12_netParams_connParams_BC-_BC_GABA_weight=0.0186,netParams_connParams_BC-_PYR_GABA_weight=0.0007,netParams_connP_2023-12-12_00-58-44"
12,2128.1946255085,0.22625,10.975,7.41,0.078744,0.094248,0.041582,0.02326,0.050577,0.076487,0.041306999999999,0.028803,0.097804,36.75816607475281,False,1,97f144e0,2023-12-12_00-59-57,1702360797,36.75816607475281,740198,grid,10.0.0.101,36.75816607475281,1,0.405,0.17,0.14,0.19,12.64,10.6,9.64,11.02,10.42,7.04,5.5,6.68,0.02326,0.050577,0.076487,0.078744,0.041306999999999996,0.094248,0.028803,0.041582,0.097804,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_97f144e0_13_netParams_connParams_BC-_BC_GABA_weight=0.0233,netParams_connParams_BC-_PYR_GABA_weight=0.0506,netParams_connP_2023-12-12_00-59-21"
13,1827816438.466836,2.29,12.85,25.895,0.097282,0.040284,0.0352769999999999,0.064948999999999,0.038457,0.0163339999999999,0.0048119999999999,0.005234,0.071316999999999,36.7143440246582,False,1,9ca2fa80,2023-12-12_01-00-34,1702360834,36.7143440246582,740198,grid,10.0.0.101,36.7143440246582,1,4.115,1.59,1.745,1.71,14.42,14.98,10.74,11.26,35.5,23.72,23.02,21.34,0.06494899999999999,0.038457,0.016334,0.097282,0.004812,0.040284,0.005234,0.035277,0.07131699999999999,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_9ca2fa80_14_netParams_connParams_BC-_BC_GABA_weight=0.0649,netParams_connParams_BC-_PYR_GABA_weight=0.0385,netParams_connP_2023-12-12_00-59-57"
14,79335971644.08333,6.79625,1.0,29.665,0.076014,0.077736,0.0028239999999999,2.5e-05,0.014242,0.044848,0.095623,0.0371289999999999,0.0506229999999999,36.697800159454346,False,1,e7b73664,2023-12-12_01-01-11,1702360871,36.697800159454346,740198,grid,10.0.0.101,36.697800159454346,1,23.735,0.0,0.0,3.45,4.0,0.0,0.0,0.0,16.38,64.22,17.48,20.58,2.5e-05,0.014242,0.044848,0.076014,0.095623,0.077736,0.037129,0.002824,0.050623,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_e7b73664_15_netParams_connParams_BC-_BC_GABA_weight=0.0000,netParams_connParams_BC-_PYR_GABA_weight=0.0142,netParams_connP_2023-12-12_01-00-34"
15,4617.540817072158,0.1725,10.2,8.345,0.072899999999999,0.048809,0.020217,0.023991,0.067806999999999,0.099277999999999,0.0494579999999999,0.062354,0.079926,36.493979930877686,False,1,6731d7e0,2023-12-12_01-01-48,1702360908,36.493979930877686,740198,grid,10.0.0.101,36.493979930877686,1,0.355,0.11,0.09,0.135,12.44,9.72,8.4,10.24,14.42,8.36,4.26,6.34,0.023991,0.06780699999999999,0.09927799999999999,0.07289999999999999,0.049458,0.048809,0.062354,0.020217,0.079926,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_6731d7e0_16_netParams_connParams_BC-_BC_GABA_weight=0.0240,netParams_connParams_BC-_PYR_GABA_weight=0.0678,netParams_connP_2023-12-12_01-01-11"
16,191.7810694092561,0.27125,13.42,5.35,0.099078,0.02366,0.096951,0.012051,0.063537,0.070457999999999,0.016024,0.016834,0.057941,36.72000598907471,False,1,021e6405,2023-12-12_01-02-24,1702360944,36.72000598907471,740198,grid,10.0.0.101,36.72000598907471,1,0.445,0.24,0.195,0.205,13.24,14.44,13.24,12.76,8.14,4.12,4.86,4.28,0.012051,0.063537,0.07045799999999999,0.099078,0.016024,0.02366,0.016834000000000002,0.096951,0.057941,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_021e6405_17_netParams_connParams_BC-_BC_GABA_weight=0.0121,netParams_connParams_BC-_PYR_GABA_weight=0.0635,netParams_connP_2023-12-12_01-01-48"
17,55860.31580814859,1.1125,7.9,13.81,0.008265999999999,0.024773,0.092878,0.0574229999999999,0.059948999999999,0.067025,0.015084999999999,0.014242999999999,0.0595,36.520973443984985,False,1,7e898702,2023-12-12_01-03-01,1702360981,36.520973443984985,740198,grid,10.0.0.101,36.520973443984985,1,2.935,0.425,0.515,0.5750000000000001,15.24,5.48,5.52,5.36,23.92,10.58,9.74,11.0,0.057423,0.059948999999999995,0.067025,0.008265999999999999,0.015084999999999998,0.024773,0.014242999999999999,0.092878,0.0595,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_7e898702_18_netParams_connParams_BC-_BC_GABA_weight=0.0574,netParams_connParams_BC-_PYR_GABA_weight=0.0599,netParams_connP_2023-12-12_01-02-25"
18,1067.5243048725615,0.5112500000000001,11.915,10.05,0.047615,0.018025,0.081673,0.027323,0.041128,0.048160999999999,0.015572999999999,0.0182209999999999,0.040788,36.48480463027954,False,1,167e989b,2023-12-12_01-03-38,1702361018,36.48480463027954,740198,grid,10.0.0.101,36.48480463027954,1,0.8250000000000001,0.34,0.435,0.445,14.7,9.62,11.5,11.84,14.76,8.14,8.66,8.64,0.027323,0.041128,0.048160999999999995,0.047615,0.015572999999999998,0.018025,0.018221,0.081673,0.040788,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_167e989b_19_netParams_connParams_BC-_BC_GABA_weight=0.0273,netParams_connParams_BC-_PYR_GABA_weight=0.0411,netParams_connP_2023-12-12_01-03-01"
19,8.032069058229846,0.505,18.105,2.76,0.087452,0.003806,0.0304359999999999,0.014202999999999,0.018352,0.0195189999999999,0.017436,0.000289,0.042756999999999,36.47737622261048,False,1,fc8a8d5e,2023-12-12_01-04-14,1702361054,36.47737622261048,740198,grid,10.0.0.101,36.47737622261048,1,0.7000000000000001,0.42,0.595,0.305,18.1,19.1,20.2,15.02,4.02,2.2,3.02,1.8,0.014202999999999999,0.018352,0.019519,0.087452,0.017436,0.003806,0.00028900000000000003,0.030436,0.042756999999999996,"/ddn/jchen/dev/pubtk/examples/ray_ses/optuna/sge_run_fc8a8d5e_20_netParams_connParams_BC-_BC_GABA_weight=0.0142,netParams_connParams_BC-_PYR_GABA_weight=0.0184,netParams_connP_2023-12-12_01-03-38"
